Circles			Editing site 		
chr2R	7507996	7507997	chr2R	7507996	7507997
chr2R	7508152	7508153	chr2R	7508152	7508153
chr2R	7513958	7513959	chr2R	7513958	7513959
chr2R	14236094	14236095	chr2R	14236094	14236095
chr2R	14239660	14239661	chr2R	14239660	14239661
chr2R	14236094	14236095	chr2R	14236094	14236095
chr2R	6975718	6975719	chr2R	6975718	6975719
chr2R	6985078	6985079	chr2R	6985078	6985079
chr2R	6985078	6985079	chr2R	6985078	6985079
chr2R	6982667	6982668	chr2R	6982667	6982668
chr2R	6982667	6982668	chr2R	6982667	6982668
chr2R	7017892	7017893	chr2R	7017892	7017893
chr2R	7017576	7017577	chr2R	7017576	7017577
chr2R	7018146	7018147	chr2R	7018146	7018147
chr2R	6985078	6985079	chr2R	6985078	6985079
chr2R	6985078	6985079	chr2R	6985078	6985079
chr2R	6982667	6982668	chr2R	6982667	6982668
chr2R	6982667	6982668	chr2R	6982667	6982668
chr2R	7481347	7481348	chr2R	7481347	7481348
chr2R	7481185	7481186	chr2R	7481185	7481186
chr2R	7485341	7485342	chr2R	7485341	7485342
chr2R	7482763	7482764	chr2R	7482763	7482764
chr2R	7503541	7503542	chr2R	7503541	7503542
chr2R	7497053	7497054	chr2R	7497053	7497054
chr2R	7502199	7502200	chr2R	7502199	7502200
chr2R	7502188	7502189	chr2R	7502188	7502189
chr2R	7494744	7494745	chr2R	7494744	7494745
chr2R	7501178	7501179	chr2R	7501178	7501179
chr2R	7499247	7499248	chr2R	7499247	7499248
chr2R	7512464	7512465	chr2R	7512464	7512465
chr2R	7510061	7510062	chr2R	7510061	7510062
chr2R	7507996	7507997	chr2R	7507996	7507997
chr2R	7508152	7508153	chr2R	7508152	7508153
chr2R	7513958	7513959	chr2R	7513958	7513959
chr2R	7538814	7538815	chr2R	7538814	7538815
chr2R	7503541	7503542	chr2R	7503541	7503542
chr2R	7497053	7497054	chr2R	7497053	7497054
chr2R	7502199	7502200	chr2R	7502199	7502200
chr2R	7502188	7502189	chr2R	7502188	7502189
chr2R	7494744	7494745	chr2R	7494744	7494745
chr2R	7501178	7501179	chr2R	7501178	7501179
chr2R	7499247	7499248	chr2R	7499247	7499248
chr2R	7512464	7512465	chr2R	7512464	7512465
chr2R	7510061	7510062	chr2R	7510061	7510062
chr2R	7507996	7507997	chr2R	7507996	7507997
chr2R	7508152	7508153	chr2R	7508152	7508153
chr2R	7513958	7513959	chr2R	7513958	7513959
chr2R	7538814	7538815	chr2R	7538814	7538815
chr2R	7503541	7503542	chr2R	7503541	7503542
chr2R	7512464	7512465	chr2R	7512464	7512465
chr2R	7510061	7510062	chr2R	7510061	7510062
chr2R	7507996	7507997	chr2R	7507996	7507997
chr2R	7508152	7508153	chr2R	7508152	7508153
chr2R	7513958	7513959	chr2R	7513958	7513959
chr2R	7538814	7538815	chr2R	7538814	7538815
chr2R	9229804	9229805	chr2R	9229804	9229805
chr2R	9233126	9233127	chr2R	9233126	9233127
chr2R	9234956	9234957	chr2R	9234956	9234957
chr2R	9234519	9234520	chr2R	9234519	9234520
chr2R	9234514	9234515	chr2R	9234514	9234515
chr2R	9229936	9229937	chr2R	9229936	9229937
chr2R	9229909	9229910	chr2R	9229909	9229910
chr2R	9284894	9284895	chr2R	9284894	9284895
chr2R	9848509	9848510	chr2R	9848509	9848510
chr2R	9848509	9848510	chr2R	9848509	9848510
chr2R	9848509	9848510	chr2R	9848509	9848510
chr2R	9884401	9884402	chr2R	9884401	9884402
chr2R	9884160	9884161	chr2R	9884160	9884161
chr2R	10024311	10024312	chr2R	10024311	10024312
chr2R	10030495	10030496	chr2R	10030495	10030496
chr2R	10030917	10030918	chr2R	10030917	10030918
chr2R	10030903	10030904	chr2R	10030903	10030904
chr2R	10024311	10024312	chr2R	10024311	10024312
chr2R	10030495	10030496	chr2R	10030495	10030496
chr2R	10030917	10030918	chr2R	10030917	10030918
chr2R	10030903	10030904	chr2R	10030903	10030904
chr2R	1075468	1075469	chr2R	1075468	1075469
chr2R	1076270	1076271	chr2R	1076270	1076271
chr2R	1075671	1075672	chr2R	1075671	1075672
chr2R	1075451	1075452	chr2R	1075451	1075452
chr2R	1075478	1075479	chr2R	1075478	1075479
chr2R	1076291	1076292	chr2R	1076291	1076292
chr2R	1076273	1076274	chr2R	1076273	1076274
chr2R	1075725	1075726	chr2R	1075725	1075726
chr2R	1075735	1075736	chr2R	1075735	1075736
chr2R	1075473	1075474	chr2R	1075473	1075474
chr2R	1076214	1076215	chr2R	1076214	1076215
chr2R	1075726	1075727	chr2R	1075726	1075727
chr2R	1075691	1075692	chr2R	1075691	1075692
chr2R	1075460	1075461	chr2R	1075460	1075461
chr2R	1075477	1075478	chr2R	1075477	1075478
chr2R	1075724	1075725	chr2R	1075724	1075725
chr2R	1075459	1075460	chr2R	1075459	1075460
chr2R	1075730	1075731	chr2R	1075730	1075731
chr2R	1075492	1075493	chr2R	1075492	1075493
chr2R	1075462	1075463	chr2R	1075462	1075463
chr2R	1075461	1075462	chr2R	1075461	1075462
chr2R	1075497	1075498	chr2R	1075497	1075498
chr2R	1075491	1075492	chr2R	1075491	1075492
chr2R	1075689	1075690	chr2R	1075689	1075690
chr2R	1076280	1076281	chr2R	1076280	1076281
chr2R	1075518	1075519	chr2R	1075518	1075519
chr2R	1075755	1075756	chr2R	1075755	1075756
chr2R	1075756	1075757	chr2R	1075756	1075757
chr2R	1075757	1075758	chr2R	1075757	1075758
chr2R	1075690	1075691	chr2R	1075690	1075691
chr2R	1075519	1075520	chr2R	1075519	1075520
chr2R	1075507	1075508	chr2R	1075507	1075508
chr2R	1075480	1075481	chr2R	1075480	1075481
chr2R	1075448	1075449	chr2R	1075448	1075449
chr2R	1076316	1076317	chr2R	1076316	1076317
chr2R	12609299	12609300	chr2R	12609299	12609300
chr2R	12628562	12628563	chr2R	12628562	12628563
chr2R	603304	603305	chr2R	603304	603305
chr2R	14058045	14058046	chr2R	14058045	14058046
chr2R	603304	603305	chr2R	603304	603305
chr2R	20829906	20829907	chr2R	20829906	20829907
chr2R	20829906	20829907	chr2R	20829906	20829907
chr2R	20830305	20830306	chr2R	20830305	20830306
chr2R	20830305	20830306	chr2R	20830305	20830306
chr2R	20829057	20829058	chr2R	20829057	20829058
chr2R	20829057	20829058	chr2R	20829057	20829058
chr2R	2519375	2519376	chr2R	2519375	2519376
chr2R	2519365	2519366	chr2R	2519365	2519366
chr2R	7508152	7508153	chr2R	7508152	7508153
chr2R	9374259	9374260	chr2R	9374259	9374260
chr2R	9759927	9759928	chr2R	9759927	9759928
chr2R	1075468	1075469	chr2R	1075468	1075469
chr2R	1076270	1076271	chr2R	1076270	1076271
chr2R	1075671	1075672	chr2R	1075671	1075672
chr2R	1075451	1075452	chr2R	1075451	1075452
chr2R	1075478	1075479	chr2R	1075478	1075479
chr2R	1076291	1076292	chr2R	1076291	1076292
chr2R	1076273	1076274	chr2R	1076273	1076274
chr2R	1075725	1075726	chr2R	1075725	1075726
chr2R	1075735	1075736	chr2R	1075735	1075736
chr2R	1075473	1075474	chr2R	1075473	1075474
chr2R	1076214	1076215	chr2R	1076214	1076215
chr2R	1075726	1075727	chr2R	1075726	1075727
chr2R	1075691	1075692	chr2R	1075691	1075692
chr2R	1075460	1075461	chr2R	1075460	1075461
chr2R	1075477	1075478	chr2R	1075477	1075478
chr2R	1075724	1075725	chr2R	1075724	1075725
chr2R	1075459	1075460	chr2R	1075459	1075460
chr2R	1075730	1075731	chr2R	1075730	1075731
chr2R	1075492	1075493	chr2R	1075492	1075493
chr2R	1075462	1075463	chr2R	1075462	1075463
chr2R	1075461	1075462	chr2R	1075461	1075462
chr2R	1075497	1075498	chr2R	1075497	1075498
chr2R	1075491	1075492	chr2R	1075491	1075492
chr2R	1075689	1075690	chr2R	1075689	1075690
chr2R	1076280	1076281	chr2R	1076280	1076281
chr2R	1075518	1075519	chr2R	1075518	1075519
chr2R	1075755	1075756	chr2R	1075755	1075756
chr2R	1075756	1075757	chr2R	1075756	1075757
chr2R	1075757	1075758	chr2R	1075757	1075758
chr2R	1075690	1075691	chr2R	1075690	1075691
chr2R	1075519	1075520	chr2R	1075519	1075520
chr2R	1075507	1075508	chr2R	1075507	1075508
chr2R	1075480	1075481	chr2R	1075480	1075481
chr2R	1075448	1075449	chr2R	1075448	1075449
chr2R	1076316	1076317	chr2R	1076316	1076317
chr2R	1095667	1095668	chr2R	1095667	1095668
chr2R	10030495	10030496	chr2R	10030495	10030496
chr2R	10030917	10030918	chr2R	10030917	10030918
chr2R	10030903	10030904	chr2R	10030903	10030904
chr2R	17513347	17513348	chr2R	17513347	17513348
chr2R	17518273	17518274	chr2R	17518273	17518274
chr2R	10490753	10490754	chr2R	10490753	10490754
chr2R	10149345	10149346	chr2R	10149345	10149346
chr2R	10150663	10150664	chr2R	10150663	10150664
chr2R	10150664	10150665	chr2R	10150664	10150665
chr2R	9759927	9759928	chr2R	9759927	9759928
chr2R	9770164	9770165	chr2R	9770164	9770165
chr2R	17907219	17907220	chr2R	17907219	17907220
chr2R	1075468	1075469	chr2R	1075468	1075469
chr2R	1076270	1076271	chr2R	1076270	1076271
chr2R	1075671	1075672	chr2R	1075671	1075672
chr2R	1075451	1075452	chr2R	1075451	1075452
chr2R	1075478	1075479	chr2R	1075478	1075479
chr2R	1076291	1076292	chr2R	1076291	1076292
chr2R	1076273	1076274	chr2R	1076273	1076274
chr2R	1075725	1075726	chr2R	1075725	1075726
chr2R	1075735	1075736	chr2R	1075735	1075736
chr2R	1075473	1075474	chr2R	1075473	1075474
chr2R	1076214	1076215	chr2R	1076214	1076215
chr2R	1075726	1075727	chr2R	1075726	1075727
chr2R	1075691	1075692	chr2R	1075691	1075692
chr2R	1075460	1075461	chr2R	1075460	1075461
chr2R	1075477	1075478	chr2R	1075477	1075478
chr2R	1075724	1075725	chr2R	1075724	1075725
chr2R	1075459	1075460	chr2R	1075459	1075460
chr2R	1075730	1075731	chr2R	1075730	1075731
chr2R	1075492	1075493	chr2R	1075492	1075493
chr2R	1075462	1075463	chr2R	1075462	1075463
chr2R	1075461	1075462	chr2R	1075461	1075462
chr2R	1075497	1075498	chr2R	1075497	1075498
chr2R	1075491	1075492	chr2R	1075491	1075492
chr2R	1075689	1075690	chr2R	1075689	1075690
chr2R	1076280	1076281	chr2R	1076280	1076281
chr2R	1075518	1075519	chr2R	1075518	1075519
chr2R	1075755	1075756	chr2R	1075755	1075756
chr2R	1075756	1075757	chr2R	1075756	1075757
chr2R	1075757	1075758	chr2R	1075757	1075758
chr2R	1075690	1075691	chr2R	1075690	1075691
chr2R	1075519	1075520	chr2R	1075519	1075520
chr2R	1075507	1075508	chr2R	1075507	1075508
chr2R	1075480	1075481	chr2R	1075480	1075481
chr2R	1075448	1075449	chr2R	1075448	1075449
chr2R	1076316	1076317	chr2R	1076316	1076317
chr2R	603304	603305	chr2R	603304	603305
chr2R	1075468	1075469	chr2R	1075468	1075469
chr2R	1076270	1076271	chr2R	1076270	1076271
chr2R	1075671	1075672	chr2R	1075671	1075672
chr2R	1075451	1075452	chr2R	1075451	1075452
chr2R	1075478	1075479	chr2R	1075478	1075479
chr2R	1076291	1076292	chr2R	1076291	1076292
chr2R	1076273	1076274	chr2R	1076273	1076274
chr2R	1075725	1075726	chr2R	1075725	1075726
chr2R	1075735	1075736	chr2R	1075735	1075736
chr2R	1075473	1075474	chr2R	1075473	1075474
chr2R	1076214	1076215	chr2R	1076214	1076215
chr2R	1075726	1075727	chr2R	1075726	1075727
chr2R	1075691	1075692	chr2R	1075691	1075692
chr2R	1075460	1075461	chr2R	1075460	1075461
chr2R	1075477	1075478	chr2R	1075477	1075478
chr2R	1075724	1075725	chr2R	1075724	1075725
chr2R	1075459	1075460	chr2R	1075459	1075460
chr2R	1075730	1075731	chr2R	1075730	1075731
chr2R	1075492	1075493	chr2R	1075492	1075493
chr2R	1075462	1075463	chr2R	1075462	1075463
chr2R	1075461	1075462	chr2R	1075461	1075462
chr2R	1075497	1075498	chr2R	1075497	1075498
chr2R	1075491	1075492	chr2R	1075491	1075492
chr2R	1075689	1075690	chr2R	1075689	1075690
chr2R	1076280	1076281	chr2R	1076280	1076281
chr2R	1075518	1075519	chr2R	1075518	1075519
chr2R	1075755	1075756	chr2R	1075755	1075756
chr2R	1075756	1075757	chr2R	1075756	1075757
chr2R	1075757	1075758	chr2R	1075757	1075758
chr2R	1075690	1075691	chr2R	1075690	1075691
chr2R	1075519	1075520	chr2R	1075519	1075520
chr2R	1075507	1075508	chr2R	1075507	1075508
chr2R	1075480	1075481	chr2R	1075480	1075481
chr2R	1075448	1075449	chr2R	1075448	1075449
chr2R	1076316	1076317	chr2R	1076316	1076317
chr2R	6975718	6975719	chr2R	6975718	6975719
chr2R	6985078	6985079	chr2R	6985078	6985079
chr2R	6985078	6985079	chr2R	6985078	6985079
chr2R	6982667	6982668	chr2R	6982667	6982668
chr2R	6982667	6982668	chr2R	6982667	6982668
chr2R	603304	603305	chr2R	603304	603305
chr2R	6670726	6670727	chr2R	6670726	6670727
chr2R	6688513	6688514	chr2R	6688513	6688514
chr2R	6686677	6686678	chr2R	6686677	6686678
chr2R	6687627	6687628	chr2R	6687627	6687628
chr2R	7481347	7481348	chr2R	7481347	7481348
chr2R	7481185	7481186	chr2R	7481185	7481186
chr2R	7485341	7485342	chr2R	7485341	7485342
chr2R	7482763	7482764	chr2R	7482763	7482764
chr2R	8445737	8445738	chr2R	8445737	8445738
chr2R	14058045	14058046	chr2R	14058045	14058046
chr2R	8476501	8476502	chr2R	8476501	8476502
chr2R	9229804	9229805	chr2R	9229804	9229805
chr2R	9233126	9233127	chr2R	9233126	9233127
chr2R	9234956	9234957	chr2R	9234956	9234957
chr2R	9234519	9234520	chr2R	9234519	9234520
chr2R	9234514	9234515	chr2R	9234514	9234515
chr2R	9229936	9229937	chr2R	9229936	9229937
chr2R	9229909	9229910	chr2R	9229909	9229910
chr2R	2846374	2846375	chr2R	2846374	2846375
chr2R	2846308	2846309	chr2R	2846308	2846309
chr2R	2846120	2846121	chr2R	2846120	2846121
chr2R	2846403	2846404	chr2R	2846403	2846404
chr2R	9759927	9759928	chr2R	9759927	9759928
chr2R	9770164	9770165	chr2R	9770164	9770165
chr2R	7274062	7274063	chr2R	7274062	7274063
chr2R	9105682	9105683	chr2R	9105682	9105683
chr2R	20286145	20286146	chr2R	20286145	20286146
chr2R	20286127	20286128	chr2R	20286127	20286128
chr2R	5323947	5323948	chr2R	5323947	5323948
chr2R	5323946	5323947	chr2R	5323946	5323947
chr2R	5323934	5323935	chr2R	5323934	5323935
chr2R	5323933	5323934	chr2R	5323933	5323934
chr2R	5324002	5324003	chr2R	5324002	5324003
chr2R	17549386	17549387	chr2R	17549386	17549387
chr2R	1075468	1075469	chr2R	1075468	1075469
chr2R	1075671	1075672	chr2R	1075671	1075672
chr2R	1075451	1075452	chr2R	1075451	1075452
chr2R	1075478	1075479	chr2R	1075478	1075479
chr2R	1075725	1075726	chr2R	1075725	1075726
chr2R	1075735	1075736	chr2R	1075735	1075736
chr2R	1075473	1075474	chr2R	1075473	1075474
chr2R	1075726	1075727	chr2R	1075726	1075727
chr2R	1075691	1075692	chr2R	1075691	1075692
chr2R	1075460	1075461	chr2R	1075460	1075461
chr2R	1075477	1075478	chr2R	1075477	1075478
chr2R	1075724	1075725	chr2R	1075724	1075725
chr2R	1075459	1075460	chr2R	1075459	1075460
chr2R	1075730	1075731	chr2R	1075730	1075731
chr2R	1075492	1075493	chr2R	1075492	1075493
chr2R	1075462	1075463	chr2R	1075462	1075463
chr2R	1075461	1075462	chr2R	1075461	1075462
chr2R	1075497	1075498	chr2R	1075497	1075498
chr2R	1075491	1075492	chr2R	1075491	1075492
chr2R	1075689	1075690	chr2R	1075689	1075690
chr2R	1075518	1075519	chr2R	1075518	1075519
chr2R	1075755	1075756	chr2R	1075755	1075756
chr2R	1075756	1075757	chr2R	1075756	1075757
chr2R	1075757	1075758	chr2R	1075757	1075758
chr2R	1075690	1075691	chr2R	1075690	1075691
chr2R	1075519	1075520	chr2R	1075519	1075520
chr2R	1075507	1075508	chr2R	1075507	1075508
chr2R	1075480	1075481	chr2R	1075480	1075481
chr2R	1075448	1075449	chr2R	1075448	1075449
chr2R	16942925	16942926	chr2R	16942925	16942926
chr2R	7722399	7722400	chr2R	7722399	7722400
chr2R	4031013	4031014	chr2R	4031013	4031014
chr2R	4031018	4031019	chr2R	4031018	4031019
chr2R	1095667	1095668	chr2R	1095667	1095668
chr2R	1095667	1095668	chr2R	1095667	1095668
chr2R	16136207	16136208	chr2R	16136207	16136208
chr2R	5146137	5146138	chr2R	5146137	5146138
chr2R	5146152	5146153	chr2R	5146152	5146153
chr2R	5146136	5146137	chr2R	5146136	5146137
chr2R	5146134	5146135	chr2R	5146134	5146135
chr2R	5150134	5150135	chr2R	5150134	5150135
chr2R	5151429	5151430	chr2R	5151429	5151430
chr2R	14192553	14192554	chr2R	14192553	14192554
chr2R	14192901	14192902	chr2R	14192901	14192902
chr2R	14189421	14189422	chr2R	14189421	14189422
chr2R	5323947	5323948	chr2R	5323947	5323948
chr2R	5323946	5323947	chr2R	5323946	5323947
chr2R	5323934	5323935	chr2R	5323934	5323935
chr2R	5323933	5323934	chr2R	5323933	5323934
chr2R	5324002	5324003	chr2R	5324002	5324003
chr2R	5324775	5324776	chr2R	5324775	5324776
chr2R	7512464	7512465	chr2R	7512464	7512465
chr2R	1095667	1095668	chr2R	1095667	1095668
chr2R	7512464	7512465	chr2R	7512464	7512465
chr2R	7510061	7510062	chr2R	7510061	7510062
chr2R	7508152	7508153	chr2R	7508152	7508153
chr2R	7513958	7513959	chr2R	7513958	7513959
chr2R	9759927	9759928	chr2R	9759927	9759928
chr2R	9770164	9770165	chr2R	9770164	9770165
chr2R	9796371	9796372	chr2R	9796371	9796372
chr2R	14192553	14192554	chr2R	14192553	14192554
chr2R	14192901	14192902	chr2R	14192901	14192902
chr2R	14189421	14189422	chr2R	14189421	14189422
chr2R	5646208	5646209	chr2R	5646208	5646209
chr2R	7508152	7508153	chr2R	7508152	7508153
chr2R	9374259	9374260	chr2R	9374259	9374260
chr2R	1075468	1075469	chr2R	1075468	1075469
chr2R	1076270	1076271	chr2R	1076270	1076271
chr2R	1075671	1075672	chr2R	1075671	1075672
chr2R	1075451	1075452	chr2R	1075451	1075452
chr2R	1075478	1075479	chr2R	1075478	1075479
chr2R	1076291	1076292	chr2R	1076291	1076292
chr2R	1076273	1076274	chr2R	1076273	1076274
chr2R	1075725	1075726	chr2R	1075725	1075726
chr2R	1075735	1075736	chr2R	1075735	1075736
chr2R	1075473	1075474	chr2R	1075473	1075474
chr2R	1076214	1076215	chr2R	1076214	1076215
chr2R	1075726	1075727	chr2R	1075726	1075727
chr2R	1075691	1075692	chr2R	1075691	1075692
chr2R	1075460	1075461	chr2R	1075460	1075461
chr2R	1075477	1075478	chr2R	1075477	1075478
chr2R	1075724	1075725	chr2R	1075724	1075725
chr2R	1075459	1075460	chr2R	1075459	1075460
chr2R	1075730	1075731	chr2R	1075730	1075731
chr2R	1075492	1075493	chr2R	1075492	1075493
chr2R	1075462	1075463	chr2R	1075462	1075463
chr2R	1075461	1075462	chr2R	1075461	1075462
chr2R	1075497	1075498	chr2R	1075497	1075498
chr2R	1075491	1075492	chr2R	1075491	1075492
chr2R	1075689	1075690	chr2R	1075689	1075690
chr2R	1076280	1076281	chr2R	1076280	1076281
chr2R	1075518	1075519	chr2R	1075518	1075519
chr2R	1075755	1075756	chr2R	1075755	1075756
chr2R	1075756	1075757	chr2R	1075756	1075757
chr2R	1075757	1075758	chr2R	1075757	1075758
chr2R	1075690	1075691	chr2R	1075690	1075691
chr2R	1075519	1075520	chr2R	1075519	1075520
chr2R	1075507	1075508	chr2R	1075507	1075508
chr2R	1075480	1075481	chr2R	1075480	1075481
chr2R	1075448	1075449	chr2R	1075448	1075449
chr2R	1076316	1076317	chr2R	1076316	1076317
chr2R	1075468	1075469	chr2R	1075468	1075469
chr2R	1075671	1075672	chr2R	1075671	1075672
chr2R	1075451	1075452	chr2R	1075451	1075452
chr2R	1075478	1075479	chr2R	1075478	1075479
chr2R	1075725	1075726	chr2R	1075725	1075726
chr2R	1075735	1075736	chr2R	1075735	1075736
chr2R	1075473	1075474	chr2R	1075473	1075474
chr2R	1075726	1075727	chr2R	1075726	1075727
chr2R	1075691	1075692	chr2R	1075691	1075692
chr2R	1075460	1075461	chr2R	1075460	1075461
chr2R	1075477	1075478	chr2R	1075477	1075478
chr2R	1075724	1075725	chr2R	1075724	1075725
chr2R	1075459	1075460	chr2R	1075459	1075460
chr2R	1075730	1075731	chr2R	1075730	1075731
chr2R	1075492	1075493	chr2R	1075492	1075493
chr2R	1075462	1075463	chr2R	1075462	1075463
chr2R	1075461	1075462	chr2R	1075461	1075462
chr2R	1075497	1075498	chr2R	1075497	1075498
chr2R	1075491	1075492	chr2R	1075491	1075492
chr2R	1075689	1075690	chr2R	1075689	1075690
chr2R	1075518	1075519	chr2R	1075518	1075519
chr2R	1075755	1075756	chr2R	1075755	1075756
chr2R	1075756	1075757	chr2R	1075756	1075757
chr2R	1075757	1075758	chr2R	1075757	1075758
chr2R	1075690	1075691	chr2R	1075690	1075691
chr2R	1075519	1075520	chr2R	1075519	1075520
chr2R	1075507	1075508	chr2R	1075507	1075508
chr2R	1075480	1075481	chr2R	1075480	1075481
chr2R	1075448	1075449	chr2R	1075448	1075449
chr2R	1095667	1095668	chr2R	1095667	1095668
chr2R	15456235	15456236	chr2R	15456235	15456236
chr2R	15456245	15456246	chr2R	15456245	15456246
chr2R	15455522	15455523	chr2R	15455522	15455523
chr2R	15456269	15456270	chr2R	15456269	15456270
chr2R	15456278	15456279	chr2R	15456278	15456279
chr2R	15456243	15456244	chr2R	15456243	15456244
chr2R	17907219	17907220	chr2R	17907219	17907220
chr2R	17911783	17911784	chr2R	17911783	17911784
chr2R	1095667	1095668	chr2R	1095667	1095668
chr2R	1107094	1107095	chr2R	1107094	1107095
chr2R	1106985	1106986	chr2R	1106985	1106986
chr2R	1107081	1107082	chr2R	1107081	1107082
chr2R	1107069	1107070	chr2R	1107069	1107070
chr2R	1109363	1109364	chr2R	1109363	1109364
chr2R	1106157	1106158	chr2R	1106157	1106158
chr2R	1106162	1106163	chr2R	1106162	1106163
chr2R	1106166	1106167	chr2R	1106166	1106167
chr2R	6658783	6658784	chr2R	6658783	6658784
chr2R	6660470	6660471	chr2R	6660470	6660471
chr2R	6670726	6670727	chr2R	6670726	6670727
chr2R	9076628	9076629	chr2R	9076628	9076629
chr2R	17907219	17907220	chr2R	17907219	17907220
chr2R	18635168	18635169	chr2R	18635168	18635169
chr2R	18638351	18638352	chr2R	18638351	18638352
chr2R	17907219	17907220	chr2R	17907219	17907220
chr2R	9374259	9374260	chr2R	9374259	9374260
chr2R	6700139	6700140	chr2R	6700139	6700140
chr2R	6700139	6700140	chr2R	6700139	6700140
chr2R	12561274	12561275	chr2R	12561274	12561275
chr2R	2027137	2027138	chr2R	2027137	2027138
chr2R	21070720	21070721	chr2R	21070720	21070721
chr2R	21070717	21070718	chr2R	21070717	21070718
chr2R	21070720	21070721	chr2R	21070720	21070721
chr2R	21070717	21070718	chr2R	21070717	21070718
chr2R	7538814	7538815	chr2R	7538814	7538815
chr2R	2519375	2519376	chr2R	2519375	2519376
chr2R	2519365	2519366	chr2R	2519365	2519366
chr2R	2519375	2519376	chr2R	2519375	2519376
chr2R	2519365	2519366	chr2R	2519365	2519366
chr2R	9044936	9044937	chr2R	9044936	9044937
chr2R	1075468	1075469	chr2R	1075468	1075469
chr2R	1076270	1076271	chr2R	1076270	1076271
chr2R	1075671	1075672	chr2R	1075671	1075672
chr2R	1075451	1075452	chr2R	1075451	1075452
chr2R	1075478	1075479	chr2R	1075478	1075479
chr2R	1076291	1076292	chr2R	1076291	1076292
chr2R	1076273	1076274	chr2R	1076273	1076274
chr2R	1075725	1075726	chr2R	1075725	1075726
chr2R	1075735	1075736	chr2R	1075735	1075736
chr2R	1075473	1075474	chr2R	1075473	1075474
chr2R	1076214	1076215	chr2R	1076214	1076215
chr2R	1075726	1075727	chr2R	1075726	1075727
chr2R	1075691	1075692	chr2R	1075691	1075692
chr2R	1075460	1075461	chr2R	1075460	1075461
chr2R	1075477	1075478	chr2R	1075477	1075478
chr2R	1075724	1075725	chr2R	1075724	1075725
chr2R	1075459	1075460	chr2R	1075459	1075460
chr2R	1075730	1075731	chr2R	1075730	1075731
chr2R	1075492	1075493	chr2R	1075492	1075493
chr2R	1075462	1075463	chr2R	1075462	1075463
chr2R	1075461	1075462	chr2R	1075461	1075462
chr2R	1075497	1075498	chr2R	1075497	1075498
chr2R	1075491	1075492	chr2R	1075491	1075492
chr2R	1075689	1075690	chr2R	1075689	1075690
chr2R	1076280	1076281	chr2R	1076280	1076281
chr2R	1075518	1075519	chr2R	1075518	1075519
chr2R	1075755	1075756	chr2R	1075755	1075756
chr2R	1075756	1075757	chr2R	1075756	1075757
chr2R	1075757	1075758	chr2R	1075757	1075758
chr2R	1075690	1075691	chr2R	1075690	1075691
chr2R	1075519	1075520	chr2R	1075519	1075520
chr2R	1075507	1075508	chr2R	1075507	1075508
chr2R	1075480	1075481	chr2R	1075480	1075481
chr2R	1075448	1075449	chr2R	1075448	1075449
chr2R	1076316	1076317	chr2R	1076316	1076317
chr2R	1095667	1095668	chr2R	1095667	1095668
chr2R	9759927	9759928	chr2R	9759927	9759928
chr2R	7508152	7508153	chr2R	7508152	7508153
chr2R	5322676	5322677	chr2R	5322676	5322677
chr2R	7507996	7507997	chr2R	7507996	7507997
chr3L	3596432	3596433	chr3L	3596432	3596433
chr3L	9155218	9155219	chr3L	9155218	9155219
chr3L	9155185	9155186	chr3L	9155185	9155186
chr3L	9153153	9153154	chr3L	9153153	9153154
chr3L	9153838	9153839	chr3L	9153838	9153839
chr3L	9155609	9155610	chr3L	9155609	9155610
chr3L	9100899	9100900	chr3L	9100899	9100900
chr3L	9100907	9100908	chr3L	9100907	9100908
chr3L	9155218	9155219	chr3L	9155218	9155219
chr3L	9151275	9151276	chr3L	9151275	9151276
chr3L	9155185	9155186	chr3L	9155185	9155186
chr3L	9153153	9153154	chr3L	9153153	9153154
chr3L	9153838	9153839	chr3L	9153838	9153839
chr3L	9155609	9155610	chr3L	9155609	9155610
chr3L	9071293	9071294	chr3L	9071293	9071294
chr3L	9071805	9071806	chr3L	9071805	9071806
chr3L	7654509	7654510	chr3L	7654509	7654510
chr3L	12214344	12214345	chr3L	12214344	12214345
chr3L	14032558	14032559	chr3L	14032558	14032559
chr3L	23270752	23270753	chr3L	23270752	23270753
chr3L	23271197	23271198	chr3L	23271197	23271198
chr3L	23271520	23271521	chr3L	23271520	23271521
chr3L	9100899	9100900	chr3L	9100899	9100900
chr3L	9100907	9100908	chr3L	9100907	9100908
chr3L	2560918	2560919	chr3L	2560918	2560919
chr3L	2560698	2560699	chr3L	2560698	2560699
chr3L	2561927	2561928	chr3L	2561927	2561928
chr3L	2563191	2563192	chr3L	2563191	2563192
chr3L	2561933	2561934	chr3L	2561933	2561934
chr3L	2561928	2561929	chr3L	2561928	2561929
chr3L	2562617	2562618	chr3L	2562617	2562618
chr3L	2562616	2562617	chr3L	2562616	2562617
chr3L	2558346	2558347	chr3L	2558346	2558347
chr3L	2560831	2560832	chr3L	2560831	2560832
chr3L	10568254	10568255	chr3L	10568254	10568255
chr3L	1782670	1782671	chr3L	1782670	1782671
chr3L	1781408	1781409	chr3L	1781408	1781409
chr3L	1781211	1781212	chr3L	1781211	1781212
chr3L	23220164	23220165	chr3L	23220164	23220165
chr3L	16068018	16068019	chr3L	16068018	16068019
chr3L	8942378	8942379	chr3L	8942378	8942379
